设区市,耕地流出情况,,,,耕地流入情况,,截止目前耕地净流入情况,"预判能否实现2022年耕地不减少
（是/否）",内业完成进度
,遥感监测数据中疑似耕地流出的面积（含推堆土图斑）,已开展外业调查举证的面积,耕地流出情况的已完成内业编辑上图的面积,地方自主提取的面积,国家、自治区下发的图斑及地方自主提取的图斑面积,耕地流入情况的已完成内业编辑上图的面积,,,
南宁市,6613.89 ,4761.41,2033.45,696.73,8506.71,6194.11,3463.93 ,是,62.01%
柳州市,3832.26 ,3640.65,536.86,365.01,5584.71,5526.74,4624.87 ,是,84.00%
桂林市,2077.14 ,1085.69,894.69,326.19,2391.44,1967.38,746.49 ,是,85.83%
梧州市,1279.68 ,554.91,310.61,60.82,1572.93,1457.83,1086.40 ,是,74.00%
北海市,1314.11 ,995.43,142.12,326.78,650.80,463.52,-5.38 ,是,69.00%
防城港市,1300.30 ,350.83,314.83,23.93,817.91,437.67,98.91 ,是,64.00%
钦州市,1845.06 ,1043.78,124.98,401.61,999.87,675.26,148.67 ,是,75.00%
贵港市,5201.18 ,4268.11,1094.82,264.10,1979.10,1583.65,224.73 ,是,45.29%
玉林市,2610.29 ,1765.84,366.30,176.03,2175.70,942.32,399.99 ,是,70.73%
百色市,6447.15 ,4177.45,3223.14,748.29,4322.44,3652.07,-319.36 ,是,83.75%
贺州市,1416.91 ,855.95,369.81,58.12,2514.16,1397.24,969.31 ,是,85.00%
河池市,4042.45 ,3327.70,1087.58,811.64,3616.25,2960.99,1061.77 ,是,81.88%
来宾市,4987.09 ,4127.53,1428.98,353.73,7985.91,5977.66,4194.94 ,是,59.27%
崇左市,7094.49 ,2283.79,2283.79,0.00,2925.61,2925.61,641.82 ,是,84.29%
自治区,50061.97,33239.08,14211.97,4613.00,46043.55,36162.05,17337.08 ,\,\
截止目前耕地净流入情况=已完成内业编辑上图的面积-地方自主提取的面积-已完成内业编辑上图的面积,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
